student_id,name,department,semester,cgpa,tenth_percentage,twelfth_percentage,backlogs,python_score,java_score,sql_score,dsa_score,cloud_score,web_score,ml_score,cybersecurity_score,certifications,project_count,project_complexity,internships,opensource_projects,quantitative_aptitude,logical_aptitude,coding_score,communication_score,presentation_score,interview_score,hackathons,leadership,target_role,placed,data_source,profile_completeness,evidence_confidence
ST00011,Student ST00011,ISE,7,9.53,85.2,91.6,0,7.5,6.1,7.1,6.4,4.2,7.3,5.1,3.1,4,4,2,1,0,9.0,6.9,6.5,6.6,6.3,7.5,1,0,Cybersecurity Specialist,1,SYNTHETIC,96.5,73.6
ST00012,Student ST00012,Mechanical,8,7.13,70.1,80.1,0,3.7,5.1,7.5,4.1,5.2,5.9,2.6,3.3,1,2,1,0,1,5.7,6.4,4.3,7.4,8.1,4.9,3,0,Cloud/DevOps Engineer,1,SYNTHETIC,77.0,87.2
ST00013,Student ST00013,ISE,7,5.36,63.9,56.8,0,2.9,3.5,5.5,4.7,3.2,3.4,1.0,1.0,1,1,1,1,1,5.9,5.4,5.6,6.8,6.1,6.5,1,0,QA Specialist,0,SYNTHETIC,96.6,61.6
ST00014,Student ST00014,ISE,7,7.29,77.9,68.0,0,5.5,3.8,7.2,3.1,1.3,5.4,4.5,4.7,0,6,1,0,0,6.6,5.2,4.3,6.1,6.1,5.2,0,0,AI/ML Engineer,0,SYNTHETIC,85.0,69.6
ST00015,Student ST00015,ISE,8,7.41,75.1,72.9,0,4.4,5.3,6.0,6.3,5.0,3.5,1.3,5.1,0,5,2,0,1,7.0,7.7,4.9,7.2,7.8,4.7,0,1,QA Specialist,0,SYNTHETIC,85.5,91.6
ST00016,Student ST00016,CSE,8,7.6,67.9,74.4,0,7.6,6.6,6.6,7.4,4.1,3.4,4.1,4.3,1,1,2,0,0,5.2,6.9,8.0,5.8,7.5,6.6,0,0,Cybersecurity Specialist,1,SYNTHETIC,79.6,61.4
ST00017,Student ST00017,CSE,8,6.87,67.2,69.9,0,4.0,1.0,4.1,3.9,3.4,5.0,3.7,1.2,1,1,1,0,0,5.4,3.9,4.6,4.8,4.8,5.1,0,0,QA Specialist,0,SYNTHETIC,77.6,75.7
ST00018,Student ST00018,Mechanical,7,5.79,62.1,58.5,0,2.1,1.3,5.1,4.1,1.9,4.5,1.8,1.0,2,1,1,0,0,3.5,6.5,3.3,6.4,5.8,4.2,0,0,Full-Stack Developer,0,SYNTHETIC,80.9,65.6
ST00019,Student ST00019,CSE,7,6.81,66.4,70.0,0,4.4,3.8,4.0,2.7,2.0,4.6,3.2,1.0,2,2,1,0,0,4.3,6.1,3.6,4.9,5.4,2.8,0,0,Data Analyst,1,SYNTHETIC,86.5,78.6
ST00020,Student ST00020,CSE,7,7.25,72.0,71.1,0,7.0,6.5,5.0,9.0,1.5,3.6,3.8,3.3,0,1,2,1,1,5.6,6.9,8.0,5.8,6.1,7.9,0,0,Cloud/DevOps Engineer,1,SYNTHETIC,83.6,90.7
ST00021,Student ST00021,ECE,8,8.6,83.5,76.4,0,3.0,4.6,5.4,7.5,4.1,4.2,4.5,1.0,2,3,1,2,2,5.7,6.1,6.7,6.8,6.2,6.5,1,0,QA Specialist,0,SYNTHETIC,95.3,64.5
ST00022,Student ST00022,Mechanical,7,8.69,84.1,83.5,0,6.8,6.7,7.5,7.0,1.6,5.3,2.0,2.4,2,2,2,1,0,7.0,7.7,7.2,6.5,5.6,7.1,1,0,Cybersecurity Specialist,1,SYNTHETIC,85.2,85.8
ST00023,Student ST00023,Mechanical,7,6.41,66.0,66.8,0,3.3,7.2,5.4,4.7,2.3,2.5,4.6,3.1,1,2,1,0,0,5.9,4.6,4.7,6.0,6.8,3.3,1,0,Full-Stack Developer,0,SYNTHETIC,90.9,66.2
ST00024,Student ST00024,ISE,8,6.6,67.4,68.1,0,3.9,4.7,4.0,5.6,3.1,4.3,6.8,1.0,0,3,1,0,0,5.6,5.6,3.9,5.1,4.0,6.3,0,0,Cybersecurity Specialist,0,SYNTHETIC,78.7,85.1
ST00025,Student ST00025,Mechanical,8,7.31,74.3,71.1,0,4.7,4.2,5.3,3.0,2.6,3.7,4.0,1.0,2,2,1,1,0,6.6,5.1,4.3,5.9,5.3,5.5,0,0,Data Analyst,1,SYNTHETIC,84.1,80.7
ST00026,Student ST00026,Mechanical,7,8.16,75.7,85.9,0,1.9,3.1,5.3,3.8,2.2,5.2,5.6,3.1,0,3,1,0,0,6.9,5.7,3.3,3.8,4.8,3.6,0,0,AI/ML Engineer,1,SYNTHETIC,75.3,64.8
ST00027,Student ST00027,Mechanical,8,9.02,95.0,84.0,0,6.5,7.6,7.4,3.3,4.3,6.1,2.2,4.7,1,2,1,1,0,7.2,7.3,5.0,4.1,4.1,4.1,1,0,Full-Stack Developer,1,SYNTHETIC,93.5,63.7
ST00028,Student ST00028,CSE,8,7.58,75.1,84.1,0,3.4,4.5,6.1,5.9,2.1,5.8,1.0,4.6,0,3,1,0,0,6.8,7.0,5.3,7.7,8.1,6.2,0,0,Data Analyst,0,SYNTHETIC,86.7,67.7
ST00029,Student ST00029,CSE,7,8.22,82.4,83.2,0,6.9,5.3,5.2,6.7,1.9,5.5,1.9,5.0,1,3,2,2,0,7.5,6.8,7.7,5.2,4.7,4.2,1,0,AI/ML Engineer,1,SYNTHETIC,98.6,86.9
ST00030,Student ST00030,ECE,8,5.72,55.0,57.4,0,4.3,3.4,3.6,3.1,1.0,2.5,1.2,3.5,2,5,1,1,1,5.9,8.0,3.1,5.5,4.8,3.9,1,0,QA Specialist,1,SYNTHETIC,76.4,93.9
ST00031,Student ST00031,CSE,7,8.82,84.7,83.0,0,5.9,7.2,7.0,4.3,6.8,8.0,3.3,3.2,5,1,1,0,0,6.9,8.8,4.6,6.5,6.2,6.6,0,0,Cybersecurity Specialist,1,SYNTHETIC,89.2,88.9
ST00032,Student ST00032,ISE,8,8.72,81.6,79.0,0,6.8,6.7,7.8,7.0,5.1,6.5,4.9,5.0,3,2,2,1,0,6.2,7.5,7.2,6.8,6.3,6.8,0,0,Full-Stack Developer,1,SYNTHETIC,89.8,94.3
ST00033,Student ST00033,Mechanical,8,6.04,66.3,66.1,0,5.6,6.0,6.5,8.1,4.0,5.5,4.7,3.7,0,2,2,0,1,3.7,6.7,6.7,6.4,6.5,6.2,0,0,Data Analyst,1,SYNTHETIC,75.5,71.3
ST00034,Student ST00034,CSE,7,8.97,87.9,85.3,0,6.0,4.7,8.5,7.0,4.1,7.6,5.4,3.7,1,2,2,2,0,8.0,6.9,6.1,5.3,5.2,5.8,0,0,AI/ML Engineer,1,SYNTHETIC,95.7,76.6
ST00035,Student ST00035,CSE,7,7.74,79.6,79.8,0,6.5,7.3,6.2,6.7,3.9,6.9,2.6,6.0,0,1,2,1,1,6.2,6.5,6.5,5.2,7.3,5.7,0,0,Data Analyst,1,SYNTHETIC,91.7,90.1
ST00036,Student ST00036,ISE,8,6.43,66.5,66.7,0,4.2,5.7,2.7,3.5,2.0,3.0,1.8,1.0,0,3,1,0,0,7.4,6.8,3.8,5.3,5.8,4.8,2,0,Cybersecurity Specialist,1,SYNTHETIC,94.6,62.8
ST00037,Student ST00037,CSE,8,7.51,79.7,74.8,0,6.8,9.0,6.1,6.5,3.0,4.8,4.9,5.3,1,5,2,1,0,6.1,4.7,6.9,7.1,6.4,8.1,0,0,QA Specialist,1,SYNTHETIC,83.9,94.6
ST00038,Student ST00038,CSE,7,5.84,69.6,61.5,0,3.6,4.6,6.7,5.7,4.6,3.2,5.5,4.2,0,3,1,1,1,6.2,5.2,5.4,2.2,3.4,2.3,0,0,AI/ML Engineer,0,SYNTHETIC,84.4,93.9
ST00039,Student ST00039,CSE,8,8.21,76.8,85.7,0,3.3,4.6,2.9,5.4,3.2,6.1,4.2,1.0,1,1,1,1,0,7.1,7.2,5.3,6.5,6.0,5.1,0,0,Cloud/DevOps Engineer,1,SYNTHETIC,76.4,78.6
ST00040,Student ST00040,CSE,7,7.27,69.6,72.8,0,4.7,5.3,5.8,6.0,3.6,6.1,1.0,7.4,1,1,2,0,1,6.6,5.6,6.2,6.0,6.3,4.9,2,0,Data Analyst,0,SYNTHETIC,86.9,81.6
ST00041,Student ST00041,ECE,7,7.6,80.8,80.8,0,7.0,4.6,8.4,4.6,4.8,4.4,3.9,4.1,3,3,2,2,0,6.3,6.6,5.4,6.2,5.0,4.8,0,0,Data Analyst,1,SYNTHETIC,91.7,73.6
ST00042,Student ST00042,CSE,8,5.85,60.5,56.8,0,5.6,4.7,3.0,6.7,3.8,2.7,1.0,5.3,0,2,2,0,0,7.2,6.2,6.6,7.4,7.7,6.9,0,0,Full-Stack Developer,1,SYNTHETIC,97.2,62.1
ST00043,Student ST00043,CSE,7,7.21,75.5,73.0,0,3.2,2.8,5.7,3.3,1.0,4.3,4.9,3.4,0,1,1,0,1,8.3,6.5,3.4,4.9,6.1,3.9,1,0,QA Specialist,1,SYNTHETIC,90.2,93.3
ST00044,Student ST00044,CSE,7,8.61,86.7,83.4,0,6.9,4.5,7.9,5.8,4.1,6.5,5.2,2.6,0,3,2,1,0,7.4,6.2,6.0,6.8,7.7,7.9,0,0,Data Analyst,1,SYNTHETIC,80.6,73.7
ST00045,Student ST00045,CSE,8,7.31,84.5,70.7,0,7.6,7.7,7.0,5.6,2.2,6.3,2.4,2.6,1,1,2,1,0,6.7,7.1,5.0,6.7,7.6,5.7,2,0,AI/ML Engineer,1,SYNTHETIC,92.5,76.3
ST00046,Student ST00046,CSE,8,7.5,73.0,71.5,0,5.6,4.4,5.1,7.4,5.5,5.8,2.0,2.8,4,1,2,1,1,5.2,5.5,6.2,5.9,5.8,6.8,0,0,Cloud/DevOps Engineer,1,SYNTHETIC,84.5,75.7
ST00047,Student ST00047,ECE,8,7.79,88.2,77.8,0,6.2,5.8,7.4,5.6,4.7,5.7,2.9,5.0,0,1,2,1,1,6.3,6.7,7.6,5.8,5.0,6.3,0,0,Cybersecurity Specialist,1,SYNTHETIC,84.6,65.1
ST00048,Student ST00048,CSE,7,6.79,69.0,69.9,1,5.3,2.4,4.2,4.9,1.9,5.3,5.5,4.7,0,1,1,1,0,5.4,5.6,4.8,5.2,5.4,4.6,0,0,Data Analyst,0,SYNTHETIC,87.2,94.9
ST00049,Student ST00049,ISE,7,7.84,83.4,82.1,0,1.2,5.3,2.9,3.9,1.3,1.4,3.4,3.4,1,2,1,0,1,4.9,6.7,2.8,7.0,6.8,3.6,0,0,QA Specialist,0,SYNTHETIC,95.3,63.4
ST00050,Student ST00050,CSE,7,6.21,64.6,69.6,0,1.0,2.9,2.8,1.0,2.8,3.5,3.9,1.0,1,1,1,0,0,7.3,7.0,1.2,7.3,6.4,3.7,0,1,QA Specialist,0,SYNTHETIC,78.6,85.8
ST00051,Student ST00051,CSE,7,9.41,92.6,89.7,0,5.1,5.3,8.4,5.7,3.3,6.5,6.1,5.0,0,1,2,0,1,7.9,8.6,4.6,5.5,5.6,4.7,1,0,QA Specialist,0,SYNTHETIC,87.7,61.5
ST00052,Student ST00052,Mechanical,8,8.86,94.5,89.6,0,5.6,6.9,7.5,6.3,3.9,4.1,1.7,1.0,2,1,2,2,2,6.8,7.3,5.9,8.5,8.4,7.5,1,0,QA Specialist,1,SYNTHETIC,79.3,79.1
ST00053,Student ST00053,ISE,7,7.8,75.7,75.8,0,7.4,5.8,6.5,8.2,4.5,8.5,4.6,1.0,3,1,2,0,0,6.3,5.7,7.5,7.0,8.2,7.8,1,0,Cloud/DevOps Engineer,1,SYNTHETIC,83.5,87.4
ST00054,Student ST00054,ISE,7,7.27,73.8,70.4,0,5.5,6.0,4.7,4.9,4.9,4.4,6.1,2.5,2,2,1,0,0,5.7,8.8,4.7,6.5,7.6,7.3,1,0,Data Analyst,0,SYNTHETIC,91.2,88.2
ST00055,Student ST00055,ECE,7,8.18,79.3,77.8,0,5.5,4.9,6.8,7.0,4.1,6.9,1.9,2.9,1,1,2,1,2,8.7,5.6,6.1,6.6,7.3,6.1,0,0,Data Analyst,1,SYNTHETIC,88.7,80.6
ST00056,Student ST00056,Mechanical,7,6.91,66.3,71.2,0,4.7,3.0,3.2,3.9,2.0,4.8,1.0,1.6,0,5,1,0,0,7.0,7.3,4.1,5.9,4.9,4.3,1,0,Full-Stack Developer,1,SYNTHETIC,81.5,86.6
ST00057,Student ST00057,CSE,8,8.89,86.5,86.8,0,2.7,6.6,6.7,5.1,4.0,5.6,1.2,2.4,2,2,1,2,0,6.2,6.3,4.3,7.8,6.5,5.5,2,1,Cybersecurity Specialist,1,SYNTHETIC,92.0,79.0
ST00058,Student ST00058,Mechanical,7,7.32,70.9,68.9,0,4.5,7.5,7.4,3.5,2.5,4.5,5.2,2.9,1,2,1,0,0,6.4,7.9,4.2,5.8,5.4,3.5,2,0,QA Specialist,0,SYNTHETIC,76.6,76.2
ST00059,Student ST00059,Mechanical,8,7.48,79.1,71.5,0,4.7,6.5,5.6,3.1,4.9,3.7,6.1,4.5,2,2,1,1,2,5.8,5.9,4.0,7.3,6.8,4.3,1,0,AI/ML Engineer,0,SYNTHETIC,96.2,88.1
ST00060,Student ST00060,CSE,8,7.92,79.4,80.0,0,6.9,7.2,4.3,5.1,3.9,4.4,6.1,3.4,1,4,2,1,0,6.4,7.9,5.7,3.1,2.7,5.6,0,0,AI/ML Engineer,1,SYNTHETIC,92.1,88.9
ST00061,Student ST00061,ISE,8,7.16,71.4,71.2,0,6.2,3.7,5.9,6.3,4.3,3.2,3.2,2.2,1,3,2,0,1,5.7,7.0,7.2,7.6,5.5,6.9,0,0,Cybersecurity Specialist,1,SYNTHETIC,75.8,70.6
ST00062,Student ST00062,Mechanical,7,7.91,80.0,80.3,0,6.7,7.2,6.6,5.5,5.1,7.6,3.6,1.9,2,2,2,0,0,6.9,6.8,6.5,5.6,5.9,5.7,2,0,Data Analyst,0,SYNTHETIC,98.1,85.4
ST00063,Student ST00063,ECE,8,8.29,80.3,84.6,0,5.9,4.5,4.6,5.5,1.2,4.4,1.0,4.2,0,1,2,3,1,6.6,6.6,5.7,7.8,6.6,6.7,0,1,AI/ML Engineer,1,SYNTHETIC,96.8,83.4
ST00064,Student ST00064,CSE,7,8.05,91.2,72.8,0,6.9,4.4,6.3,5.3,6.5,3.0,5.0,5.4,1,1,2,0,0,7.1,6.8,7.0,7.1,8.8,6.6,0,0,Data Analyst,1,SYNTHETIC,81.1,72.7
ST00065,Student ST00065,CSE,8,6.79,69.6,67.9,0,2.5,3.9,2.6,5.2,3.0,1.8,2.1,1.1,2,3,1,0,0,6.2,3.9,4.1,7.7,7.0,4.9,0,0,Data Analyst,1,SYNTHETIC,85.1,74.4
ST00066,Student ST00066,Mechanical,7,7.67,79.2,70.5,0,5.5,6.1,8.2,7.2,3.9,4.1,1.0,2.4,0,2,2,0,0,6.6,6.9,5.8,8.2,7.7,7.1,2,0,Full-Stack Developer,1,SYNTHETIC,96.0,85.3
ST00067,Student ST00067,ISE,8,7.46,72.4,68.4,0,4.0,4.6,5.1,3.2,5.0,3.0,4.3,3.2,1,2,1,1,1,4.4,5.7,2.2,7.8,8.9,5.9,1,1,QA Specialist,1,SYNTHETIC,79.0,75.1
ST00068,Student ST00068,Mechanical,7,6.44,65.0,67.0,0,2.7,5.8,4.4,3.3,4.5,2.3,1.0,4.3,0,3,1,0,0,6.5,5.9,2.7,6.0,5.8,3.9,0,0,AI/ML Engineer,0,SYNTHETIC,75.6,86.5
ST00069,Student ST00069,CSE,8,5.6,58.1,59.5,0,4.4,5.1,2.5,1.9,3.5,1.0,2.7,1.0,3,1,1,0,0,4.1,4.6,2.9,6.9,7.5,3.2,0,0,Cybersecurity Specialist,1,SYNTHETIC,85.7,81.9
ST00070,Student ST00070,ECE,8,5.0,55.0,59.4,0,3.6,5.5,4.7,4.8,7.2,2.5,3.5,3.5,2,2,1,0,2,5.7,5.2,5.1,6.1,4.3,6.0,0,0,AI/ML Engineer,0,SYNTHETIC,79.9,86.7
ST00071,Student ST00071,CSE,8,7.64,67.3,87.5,0,6.6,4.5,5.8,7.1,5.2,4.2,3.0,4.3,2,1,2,0,1,5.6,6.9,6.2,4.3,3.7,6.5,0,0,Data Analyst,1,SYNTHETIC,98.0,60.3
ST00072,Student ST00072,CSE,8,6.86,73.8,72.3,0,6.3,6.2,7.0,6.3,4.2,6.1,3.3,1.7,0,2,2,0,0,4.0,6.3,6.3,5.1,5.5,6.6,0,0,Full-Stack Developer,0,SYNTHETIC,76.7,74.1
ST00073,Student ST00073,CSE,7,6.4,63.4,70.0,1,3.6,4.6,2.3,3.7,2.8,3.5,1.0,3.9,1,4,1,0,1,6.8,6.4,3.8,8.1,6.7,5.5,1,0,Full-Stack Developer,0,SYNTHETIC,86.9,69.9
ST00074,Student ST00074,ISE,8,7.74,74.0,74.9,0,6.6,3.9,4.6,6.9,3.4,3.7,4.5,2.3,1,5,2,1,0,8.0,7.4,7.4,7.9,7.6,7.4,0,0,QA Specialist,1,SYNTHETIC,77.5,87.4
ST00075,Student ST00075,CSE,7,6.96,71.7,72.7,0,3.0,1.6,4.3,3.0,2.6,4.0,2.3,4.8,2,3,1,0,0,5.3,5.7,3.9,7.3,8.0,3.6,0,0,Full-Stack Developer,1,SYNTHETIC,92.1,67.0
ST00076,Student ST00076,CSE,8,7.07,74.5,69.8,0,4.9,3.3,5.9,4.0,3.0,2.9,1.0,2.3,2,4,1,1,0,5.9,6.4,5.0,5.2,3.1,4.9,0,0,Full-Stack Developer,1,SYNTHETIC,75.0,70.5
ST00077,Student ST00077,Mechanical,7,7.56,76.5,76.7,0,5.2,7.2,3.8,4.2,3.7,2.6,3.2,5.6,0,6,1,0,0,6.0,6.1,5.5,7.0,5.7,5.8,1,0,QA Specialist,1,SYNTHETIC,84.3,83.6
ST00078,Student ST00078,ISE,7,6.59,63.0,67.1,0,5.4,5.6,3.9,4.7,3.5,5.1,3.1,1.0,1,3,1,0,0,5.7,4.7,5.3,6.7,6.5,6.0,0,0,QA Specialist,1,SYNTHETIC,85.5,80.8
ST00079,Student ST00079,ISE,8,7.59,73.9,77.9,0,4.6,5.8,7.7,5.0,4.7,2.9,1.9,3.7,2,1,1,0,0,5.0,7.0,5.4,5.6,5.0,5.3,0,0,Full-Stack Developer,0,SYNTHETIC,75.7,76.8
ST00080,Student ST00080,CSE,8,6.6,69.5,65.1,0,1.8,1.1,3.9,3.5,2.4,3.7,3.7,1.0,0,3,1,0,1,4.3,6.0,2.9,5.9,4.4,5.5,1,0,Full-Stack Developer,0,SYNTHETIC,93.2,69.9
ST00081,Student ST00081,ISE,7,8.18,80.4,86.7,0,5.0,1.0,6.1,3.4,3.0,3.4,2.8,3.7,0,1,1,1,0,7.2,7.1,4.9,4.7,5.2,5.4,0,0,AI/ML Engineer,1,SYNTHETIC,96.0,78.9
ST00082,Student ST00082,ECE,7,6.83,63.4,72.7,0,1.9,1.2,1.7,1.6,3.5,3.5,1.1,3.0,1,3,1,0,2,7.7,4.4,1.3,6.5,7.9,3.9,0,0,Cybersecurity Specialist,0,SYNTHETIC,93.7,80.4
ST00083,Student ST00083,Mechanical,8,8.05,74.4,84.2,0,4.4,5.0,7.4,9.1,4.2,4.0,3.8,4.0,3,4,2,0,0,7.8,7.6,7.6,6.3,3.9,6.5,0,0,Data Analyst,1,SYNTHETIC,93.9,85.7
ST00084,Student ST00084,ISE,8,7.11,72.1,66.2,0,4.9,6.2,7.1,4.6,2.9,4.4,3.2,4.6,1,2,1,0,1,5.5,7.0,5.5,8.9,8.5,5.9,0,0,Full-Stack Developer,1,SYNTHETIC,82.4,72.4
ST00085,Student ST00085,ECE,7,5.88,66.4,59.7,0,4.7,2.9,4.2,7.0,3.5,3.9,3.6,3.7,2,2,2,0,0,6.0,5.6,6.1,5.1,4.8,4.8,1,0,Cloud/DevOps Engineer,1,SYNTHETIC,85.1,72.1
ST00086,Student ST00086,CSE,8,5.9,59.6,62.1,0,4.1,1.1,3.3,3.4,1.8,2.9,2.0,1.0,2,1,1,1,1,3.9,6.6,4.2,4.0,3.9,4.1,1,0,QA Specialist,0,SYNTHETIC,91.3,74.3
ST00087,Student ST00087,CSE,8,7.44,74.2,73.7,0,3.8,4.4,3.6,4.4,1.4,3.2,2.8,2.3,1,2,1,0,0,4.9,7.1,3.8,6.6,6.6,4.9,1,0,Cybersecurity Specialist,0,SYNTHETIC,81.0,67.5
ST00088,Student ST00088,CSE,7,6.48,63.8,66.9,0,4.8,5.7,3.5,4.2,3.4,4.1,2.5,3.2,0,4,1,0,1,4.0,6.2,5.0,5.8,6.6,5.5,0,0,Data Analyst,1,SYNTHETIC,90.1,68.7
ST00089,Student ST00089,ECE,7,6.79,76.6,77.7,0,3.5,5.1,3.9,4.0,2.8,1.1,2.5,1.2,1,3,1,0,0,6.9,6.4,4.2,7.6,6.9,4.8,0,0,Cybersecurity Specialist,1,SYNTHETIC,81.0,78.0
ST00090,Student ST00090,ECE,7,5.26,58.8,61.3,0,2.5,4.4,2.1,1.3,3.2,2.9,3.5,1.0,1,6,1,0,0,4.2,6.1,1.9,8.6,7.9,4.9,0,1,Data Analyst,0,SYNTHETIC,77.5,67.8
ST00091,Student ST00091,ECE,8,9.83,97.3,89.1,0,7.7,8.9,4.7,3.7,7.1,6.1,2.8,4.5,1,3,2,1,0,7.9,6.7,4.9,4.4,4.2,5.3,0,0,Cybersecurity Specialist,1,SYNTHETIC,85.1,60.6
ST00092,Student ST00092,CSE,8,10.0,92.6,97.0,0,8.1,9.9,8.4,8.2,5.5,8.3,6.7,3.6,1,3,2,3,0,7.2,8.5,8.5,6.3,6.2,7.0,0,0,Data Analyst,1,SYNTHETIC,84.0,88.1
ST00093,Student ST00093,CSE,8,5.52,61.4,56.8,0,2.2,2.5,2.4,1.0,3.1,4.2,2.6,1.0,1,3,1,0,0,6.3,6.2,1.5,8.2,8.1,3.5,1,0,QA Specialist,0,SYNTHETIC,79.1,66.8
ST00094,Student ST00094,ECE,8,7.7,79.3,77.9,0,7.7,6.8,6.1,6.9,2.5,5.4,6.3,2.8,0,1,2,0,0,7.4,6.3,6.2,6.2,6.2,6.5,0,0,QA Specialist,1,SYNTHETIC,94.7,83.1
ST00095,Student ST00095,Mechanical,8,6.74,72.7,64.9,0,5.6,6.0,4.2,4.1,4.6,3.5,4.1,1.0,0,4,1,0,1,5.5,6.0,4.5,6.9,6.1,5.7,1,0,Cloud/DevOps Engineer,1,SYNTHETIC,96.6,91.1
ST00096,Student ST00096,ISE,8,8.07,79.4,78.3,0,5.3,6.1,7.8,4.9,4.8,5.8,3.8,2.8,0,1,1,0,1,7.8,5.4,5.5,8.1,8.0,7.2,1,0,QA Specialist,1,SYNTHETIC,95.7,80.5
ST00097,Student ST00097,CSE,8,7.54,76.2,74.5,0,5.6,8.3,7.3,4.5,5.1,2.9,5.1,5.1,1,3,1,1,0,7.6,7.5,4.0,7.4,7.4,5.2,1,1,Full-Stack Developer,1,SYNTHETIC,91.9,75.9
ST00098,Student ST00098,ISE,7,8.35,84.9,84.6,0,7.9,7.4,5.9,10.0,3.3,5.6,2.0,4.8,3,1,3,0,0,7.0,6.1,8.4,7.1,7.3,7.6,0,1,Cloud/DevOps Engineer,1,SYNTHETIC,94.3,94.9
ST00099,Student ST00099,CSE,8,7.69,77.7,81.8,0,5.1,4.5,5.9,5.6,2.7,4.4,2.3,1.9,1,1,2,0,3,7.4,5.8,4.6,4.7,4.2,4.8,0,0,QA Specialist,1,SYNTHETIC,83.5,83.6
ST00100,Student ST00100,ECE,7,7.02,73.0,75.1,0,4.6,3.3,5.5,2.0,2.7,4.4,3.1,6.5,0,3,1,0,0,4.9,3.8,3.4,8.5,9.1,5.9,1,0,QA Specialist,0,SYNTHETIC,87.9,89.4
ST00101,Student ST00101,Mechanical,8,6.22,62.8,71.8,0,1.0,2.2,4.0,5.6,2.5,5.1,1.8,1.0,1,2,1,0,0,8.2,5.6,4.0,4.1,5.4,2.7,0,0,Full-Stack Developer,1,SYNTHETIC,88.7,66.5
ST00102,Student ST00102,ECE,7,6.49,64.3,69.0,0,4.7,3.8,4.5,4.7,2.4,2.4,1.7,4.0,0,3,1,0,0,6.4,5.6,4.1,5.0,5.3,5.8,1,0,Cloud/DevOps Engineer,0,SYNTHETIC,86.0,72.3
ST00103,Student ST00103,ECE,8,7.37,71.0,70.7,0,4.5,5.6,6.7,4.2,3.1,2.5,5.7,1.0,3,1,1,0,0,9.0,6.6,4.4,7.4,6.5,5.6,0,0,Full-Stack Developer,1,SYNTHETIC,88.2,75.3
ST00104,Student ST00104,CSE,7,7.11,73.6,72.1,0,4.0,4.9,3.0,5.6,2.6,2.6,2.2,4.4,1,3,1,1,0,7.9,6.4,4.4,4.5,4.9,4.8,0,0,QA Specialist,0,SYNTHETIC,89.7,83.7
